id,role_id,menu_id,created_on
1,1,1,2025-07-25 17:13:00.609+05:30
2,1,2,2025-07-25 17:13:00.609+05:30
3,1,3,2025-07-25 17:13:00.609+05:30
4,1,4,2025-07-25 17:13:00.609+05:30
5,1,5,2025-07-25 17:13:00.609+05:30
6,1,6,2025-07-25 17:13:00.609+05:30
7,2,1,2025-07-25 17:13:00.609+05:30
8,2,2,2025-07-25 17:13:00.609+05:30
9,2,3,2025-07-25 17:13:00.609+05:30
10,2,4,2025-07-25 17:13:00.609+05:30
13,2,7,2025-07-25 17:13:00.609+05:30
14,2,8,2025-07-25 17:13:00.609+05:30
15,2,9,2025-07-25 17:13:00.609+05:30
16,2,10,2025-07-25 17:13:00.609+05:30
17,2,11,2025-07-25 17:13:00.609+05:30
18,2,12,2025-07-25 17:13:00.609+05:30
19,2,13,2025-07-25 17:13:00.609+05:30
20,2,14,2025-07-25 17:13:00.609+05:30
21,2,15,2025-07-25 17:13:00.609+05:30
22,2,16,2025-07-25 17:13:00.609+05:30
23,2,17,2025-07-25 17:13:00.609+05:30
24,2,18,2025-07-25 17:13:00.609+05:30
25,2,19,2025-07-25 17:13:00.609+05:30
26,2,20,2025-07-25 17:13:00.609+05:30
27,2,21,2025-07-25 17:13:00.609+05:30
28,2,22,2025-07-25 17:13:00.609+05:30
29,5,1,2025-07-25 17:13:00.609+05:30
30,5,2,2025-07-25 17:13:00.609+05:30
31,5,3,2025-07-25 17:13:00.609+05:30
32,5,4,2025-07-25 17:13:00.609+05:30
35,5,7,2025-07-25 17:13:00.609+05:30
36,5,8,2025-07-25 17:13:00.609+05:30
37,5,9,2025-07-25 17:13:00.609+05:30
38,5,10,2025-07-25 17:13:00.609+05:30
39,5,11,2025-07-25 17:13:00.609+05:30
40,5,12,2025-07-25 17:13:00.609+05:30
41,5,13,2025-07-25 17:13:00.609+05:30
42,5,14,2025-07-25 17:13:00.609+05:30
43,5,15,2025-07-25 17:13:00.609+05:30
44,5,16,2025-07-25 17:13:00.609+05:30
45,5,17,2025-07-25 17:13:00.609+05:30
46,5,18,2025-07-25 17:13:00.609+05:30
47,5,19,2025-07-25 17:13:00.609+05:30
48,5,20,2025-07-25 17:13:00.609+05:30
49,5,21,2025-07-25 17:13:00.609+05:30
50,5,22,2025-07-25 17:13:00.609+05:30
51,5,23,2025-07-25 17:13:00.609+05:30
52,5,24,2025-07-25 17:13:00.609+05:30
53,5,25,2025-07-25 17:13:00.609+05:30
54,5,26,2025-07-25 17:13:00.609+05:30
55,5,27,2025-07-25 17:13:00.609+05:30
56,5,28,2025-07-25 17:13:00.609+05:30
